sample,10000,length,5218                                                                          
Time(ns),Vol(V)
00000000.000000,-0.036821
00100000.000000,-0.036821
00200000.000000,-0.047077
00300000.000000,-0.047077
00400000.000000,-0.047077
00500000.000000,-0.047077
00600000.000000,-0.047077
00700000.000000,-0.047077
00800000.000000,-0.047077
00900000.000000,-0.036821
01000000.000000,-0.047077
01100000.000000,-0.036821
01200000.000000,-0.047077
01300000.000000,-0.047077
01400000.000000,-0.047077
01500000.000000,-0.047077
01600000.000000,-0.036821
01700000.000000,-0.047077
01800000.000000,-0.047077
01900000.000000,-0.047077
02000000.000000,-0.036821
02100000.000000,-0.036821
02200000.000000,-0.036821
02300000.000000,-0.036821
02400000.000000,-0.036821
02500000.000000,-0.036821
02600000.000000,-0.036821
02700000.000000,-0.036821
02800000.000000,-0.036821
02900000.000000,-0.036821
03000000.000000,-0.036821
03100000.000000,-0.047077
03200000.000000,-0.036821
03300000.000000,-0.036821
03400000.000000,-0.036821
03500000.000000,-0.047077
03600000.000000,-0.047077
03700000.000000,-0.036821
03800000.000000,-0.047077
03900000.000000,-0.047077
04000000.000000,-0.047077
04100000.000000,-0.047077
04200000.000000,-0.047077
04300000.000000,-0.047077
04400000.000000,-0.047077
04500000.000000,-0.047077
04600000.000000,-0.057333
04700000.000000,-0.047077
04800000.000000,-0.057333
04900000.000000,-0.047077
05000000.000000,-0.057333
05100000.000000,-0.047077
05200000.000000,-0.047077
05300000.000000,-0.047077
05400000.000000,-0.036821
05500000.000000,-0.036821
05600000.000000,-0.036821
05700000.000000,-0.036821
05800000.000000,-0.036821
05900000.000000,-0.036821
06000000.000000,-0.036821
06100000.000000,-0.026564
06200000.000000,-0.026564
06300000.000000,-0.026564
06400000.000000,-0.026564
06500000.000000,-0.026564
06600000.000000,-0.026564
06700000.000000,-0.026564
06800000.000000,-0.026564
06900000.000000,-0.016308
07000000.000000,-0.016308
07100000.000000,-0.026564
07200000.000000,-0.026564
07300000.000000,-0.026564
07400000.000000,-0.036821
07500000.000000,-0.036821
07600000.000000,-0.036821
07700000.000000,-0.036821
07800000.000000,-0.036821
07900000.000000,-0.036821
08000000.000000,-0.036821
08100000.000000,-0.047077
08200000.000000,-0.057333
08300000.000000,-0.047077
08400000.000000,-0.057333
08500000.000000,-0.057333
08600000.000000,-0.047077
08700000.000000,-0.057333
08800000.000000,-0.047077
08900000.000000,-0.047077
09000000.000000,-0.047077
09100000.000000,-0.057333
09200000.000000,-0.057333
09300000.000000,-0.047077
09400000.000000,-0.047077
09500000.000000,-0.047077
09600000.000000,-0.047077
09700000.000000,-0.047077
09800000.000000,-0.036821
